Date,Open,High,Low,Close,Adj Close,Volume
2013-12-05,4.530000,4.680000,4.500000,4.560000,4.207362,7292300
2013-12-06,4.640000,4.700000,4.530000,4.540000,4.188910,5821400
2013-12-09,4.560000,4.620000,4.550000,4.580000,4.225816,9171700
2013-12-10,4.710000,4.850000,4.700000,4.840000,4.465709,11120000
2013-12-11,4.820000,4.880000,4.580000,4.600000,4.244269,10635700
2013-12-12,4.490000,4.650000,4.480000,4.600000,4.244269,8809400
2013-12-13,4.640000,4.700000,4.570000,4.590000,4.235042,5967300
2013-12-16,4.610000,4.650000,4.570000,4.630000,4.271949,10532900
2013-12-17,4.580000,4.640000,4.540000,4.600000,4.244269,5790800
2013-12-18,4.560000,4.680000,4.460000,4.500000,4.152003,13391200
2013-12-19,4.430000,4.450000,4.390000,4.410000,4.068962,14151900
2013-12-20,4.420000,4.440000,4.240000,4.280000,3.949016,23667000
2013-12-23,4.290000,4.330000,4.270000,4.300000,3.967469,12904800
2013-12-24,4.300000,4.400000,4.290000,4.380000,4.041282,7308000
2013-12-26,4.430000,4.470000,4.270000,4.360000,4.022829,7087700
2013-12-27,4.400000,4.420000,4.340000,4.400000,4.059736,15357900
2013-12-30,4.370000,4.390000,4.270000,4.280000,3.949016,11205300
2013-12-31,4.240000,4.380000,4.230000,4.380000,4.041282,16215700
2014-01-02,4.450000,4.530000,4.440000,4.480000,4.133549,12241000
2014-01-03,4.520000,4.620000,4.500000,4.510000,4.161230,11086400
2014-01-06,4.560000,4.630000,4.540000,4.600000,4.244269,6856200
2014-01-07,4.550000,4.590000,4.500000,4.590000,4.235042,6073500
2014-01-08,4.510000,4.590000,4.480000,4.550000,4.198136,8686400
2014-01-09,4.520000,4.520000,4.410000,4.440000,4.096642,10213100
2014-01-10,4.490000,4.530000,4.450000,4.500000,4.152003,11320000
2014-01-13,4.530000,4.580000,4.450000,4.580000,4.225816,15423000
2014-01-14,4.520000,4.650000,4.460000,4.460000,4.115097,9320100
2014-01-15,4.430000,4.550000,4.420000,4.500000,4.152003,6753000
2014-01-16,4.560000,4.570000,4.480000,4.540000,4.188910,5614100
2014-01-17,4.590000,4.830000,4.570000,4.740000,4.373443,13027500
2014-01-21,4.720000,4.860000,4.660000,4.800000,4.428802,9283500
2014-01-22,4.810000,4.820000,4.590000,4.630000,4.271949,9878400
2014-01-23,4.700000,4.790000,4.680000,4.730000,4.364215,9117600
2014-01-24,4.790000,4.810000,4.560000,4.650000,4.290403,11932700
2014-01-27,4.590000,4.610000,4.490000,4.490000,4.142776,9081900
2014-01-28,4.530000,4.600000,4.470000,4.580000,4.225816,6458200
2014-01-29,4.660000,4.680000,4.540000,4.670000,4.308856,7397200
2014-01-30,4.550000,4.650000,4.520000,4.600000,4.244269,8263200
2014-01-31,4.610000,4.670000,4.510000,4.580000,4.225816,7477900
2014-02-03,4.650000,4.670000,4.550000,4.560000,4.207362,8901800
2014-02-04,4.540000,4.620000,4.510000,4.610000,4.253496,6906700
2014-02-05,4.670000,4.700000,4.570000,4.570000,4.216589,7544600
2014-02-06,4.590000,4.620000,4.510000,4.580000,4.225816,4576200
2014-02-07,4.630000,4.880000,4.610000,4.820000,4.447256,9554300
2014-02-10,4.900000,5.110000,4.890000,5.090000,4.696376,15785300
2014-02-11,5.120000,5.400000,5.110000,5.370000,4.954722,17443700
2014-02-12,5.420000,5.440000,5.120000,5.150000,4.751736,14167600
2014-02-13,5.010000,5.210000,4.900000,5.150000,4.751736,22570200
2014-02-14,5.310000,5.340000,5.150000,5.220000,4.816322,15471900
2014-02-18,5.290000,5.300000,5.090000,5.170000,4.770189,8703500
2014-02-19,5.100000,5.210000,4.970000,5.010000,4.622563,10291600
2014-02-20,5.030000,5.320000,5.000000,5.280000,4.871684,15186500
2014-02-21,5.310000,5.370000,5.200000,5.240000,4.834776,8498500
2014-02-24,5.310000,5.380000,5.270000,5.270000,4.862457,6887000
2014-02-25,5.260000,5.350000,5.180000,5.190000,4.788643,9020400
2014-02-26,5.150000,5.240000,5.110000,5.150000,4.751736,7963800
2014-02-27,5.170000,5.270000,5.100000,5.170000,4.770189,7011600
2014-02-28,5.230000,5.280000,5.160000,5.220000,4.816322,7349900
2014-03-03,5.360000,5.400000,5.160000,5.190000,4.788643,10644900
2014-03-04,5.140000,5.200000,5.090000,5.150000,4.751736,8026700
2014-03-05,5.150000,5.190000,5.040000,5.060000,4.668696,10739200
2014-03-06,5.050000,5.100000,4.930000,4.990000,4.604109,16133500
2014-03-07,4.900000,4.980000,4.850000,4.890000,4.511842,9782500
2014-03-10,4.900000,5.000000,4.870000,4.920000,4.539522,6928800
2014-03-11,4.970000,5.000000,4.830000,4.870000,4.493389,9535500
2014-03-12,4.950000,4.990000,4.900000,4.950000,4.567202,7788200
2014-03-13,4.960000,5.230000,4.930000,5.230000,4.825550,13112700
2014-03-14,5.280000,5.300000,5.140000,5.170000,4.770189,10301300
2014-03-17,5.170000,5.170000,4.930000,4.940000,4.557976,9125500
2014-03-18,4.860000,5.010000,4.830000,4.960000,4.576429,9877800
2014-03-19,4.880000,4.940000,4.780000,4.800000,4.428802,15079800
2014-03-20,4.750000,4.910000,4.740000,4.800000,4.428802,10623700
2014-03-21,4.860000,4.900000,4.760000,4.800000,4.428802,23056700
2014-03-24,4.720000,4.760000,4.510000,4.560000,4.207362,12791600
2014-03-25,4.580000,4.620000,4.460000,4.490000,4.142776,15368100
2014-03-26,4.520000,4.530000,4.200000,4.250000,3.921336,17305100
2014-03-27,4.220000,4.310000,4.010000,4.060000,3.746029,26643800
2014-03-28,4.180000,4.310000,4.090000,4.210000,3.884429,21065700
2014-03-31,4.250000,4.250000,4.080000,4.140000,3.819842,13253000
2014-04-01,4.220000,4.250000,4.090000,4.160000,3.838295,14097900
2014-04-02,4.250000,4.370000,4.230000,4.270000,3.939789,15115700
2014-04-03,4.240000,4.270000,4.170000,4.210000,3.884429,11372300
2014-04-04,4.350000,4.390000,4.270000,4.300000,3.967469,17773800
2014-04-07,4.300000,4.360000,4.190000,4.260000,3.930562,10921100
2014-04-08,4.330000,4.340000,4.180000,4.230000,3.902882,14838000
2014-04-09,4.220000,4.350000,4.190000,4.300000,3.967469,8697000
2014-04-10,4.300000,4.330000,4.180000,4.220000,3.893655,11037200
2014-04-11,4.200000,4.250000,4.140000,4.180000,3.856749,13043800
2014-04-14,4.230000,4.260000,4.120000,4.140000,3.819842,9147900
2014-04-15,4.080000,4.130000,4.020000,4.100000,3.782936,9688400
2014-04-16,4.120000,4.160000,4.090000,4.120000,3.801389,10397400
2014-04-17,4.120000,4.140000,4.040000,4.070000,3.755255,6329300
2014-04-21,4.070000,4.100000,3.980000,4.100000,3.782936,8477300
2014-04-22,4.080000,4.120000,4.050000,4.100000,3.782936,9234500
2014-04-23,4.110000,4.250000,4.100000,4.160000,3.838295,9016300
2014-04-24,4.110000,4.200000,4.080000,4.090000,3.773709,7561700
2014-04-25,4.120000,4.180000,4.090000,4.180000,3.856749,5547600
2014-04-28,4.170000,4.180000,4.030000,4.040000,3.727576,8077300
2014-04-29,4.060000,4.170000,4.060000,4.120000,3.801389,7027400
2014-04-30,4.090000,4.120000,4.040000,4.060000,3.746029,6026200
2014-05-01,4.030000,4.110000,3.990000,4.060000,3.746029,5261500
