Date,Open,High,Low,Close,Adj Close,Volume
2013-12-05,4.280000,4.280000,4.200000,4.240000,4.151607,527300
2013-12-06,4.300000,4.340000,3.950000,4.010000,3.926403,1652100
2013-12-09,4.020000,4.100000,4.010000,4.090000,4.004735,714600
2013-12-10,4.210000,4.260000,4.150000,4.180000,4.092858,786500
2013-12-11,4.210000,4.210000,4.040000,4.090000,4.004735,677900
2013-12-12,3.960000,4.220000,3.960000,4.210000,4.122232,624300
2013-12-13,4.200000,4.310000,4.160000,4.200000,4.112442,431600
2013-12-16,4.170000,4.430000,4.150000,4.370000,4.278897,419000
2013-12-17,4.330000,4.400000,4.190000,4.260000,4.171190,314300
2013-12-18,4.240000,4.340000,4.180000,4.180000,4.092858,361900
2013-12-19,4.110000,4.210000,3.960000,4.080000,3.994943,786100
2013-12-20,4.110000,4.180000,3.990000,4.180000,4.092858,1326600
2013-12-23,4.110000,4.110000,3.940000,4.000000,3.916611,906900
2013-12-24,3.950000,4.050000,3.950000,4.000000,3.916611,281400
2013-12-26,4.060000,4.130000,4.030000,4.060000,3.975360,384900
2013-12-27,4.090000,4.210000,4.050000,4.210000,4.122232,444200
2013-12-30,4.190000,4.270000,4.120000,4.120000,4.034110,663100
2013-12-31,4.120000,4.300000,4.040000,4.270000,4.180982,851500
2014-01-02,4.350000,4.590000,4.340000,4.580000,4.484520,1104100
2014-01-03,4.580000,4.710000,4.460000,4.540000,4.445354,603100
2014-01-06,4.550000,4.590000,4.470000,4.470000,4.376812,332900
2014-01-07,4.420000,4.500000,4.290000,4.460000,4.367021,540800
2014-01-08,4.420000,4.420000,4.260000,4.290000,4.200565,442500
2014-01-09,4.290000,4.390000,4.180000,4.260000,4.171190,328000
2014-01-10,4.340000,4.400000,4.280000,4.320000,4.229940,389600
2014-01-13,4.360000,4.580000,4.340000,4.520000,4.425770,636800
2014-01-14,4.410000,4.570000,4.330000,4.360000,4.269106,575900
2014-01-15,4.330000,4.630000,4.290000,4.520000,4.425770,531400
2014-01-16,4.760000,5.030000,4.760000,5.000000,4.895763,1880600
2014-01-17,5.200000,5.240000,5.080000,5.210000,5.101385,1303100
2014-01-21,5.120000,5.370000,5.050000,5.270000,5.160135,1112700
2014-01-22,5.300000,5.310000,5.080000,5.120000,5.013262,606300
2014-01-23,5.200000,5.330000,5.150000,5.180000,5.072011,737300
2014-01-24,5.270000,5.310000,5.190000,5.290000,5.179718,1002100
2014-01-27,5.260000,5.290000,4.980000,4.980000,4.876180,816900
2014-01-28,5.050000,5.070000,4.900000,5.030000,4.925138,484100
2014-01-29,5.060000,5.260000,5.010000,5.190000,5.081802,824200
